instance_id,model_name,target,sel_key_int
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
BurnzZ__scrapy-loader-upkeep-3,swe-agent-llama-70b,True,4399201746342076
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
googleapis__python-datastore-115,swe-agent-llama-8b,True,23933987259650460
